Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
2273,34,0,1,9,2,2,2,4,0,3,1,4,0,1,0,0,1,17979
73,32,1,1,6,2,2,3,3,1,4,0,2,0,3,0,0,2,21220
167,30,1,3,11,2,1,2,3,3,3,0,3,0,4,1,1,3,24419
4725,39,1,3,9,3,2,3,4,3,4,3,2,0,4,1,2,3,26029
4219,37,0,1,31,2,1,3,4,1,4,1,2,0,3,1,2,2,24352
2620,34,1,1,9,2,2,3,4,0,3,2,2,0,3,0,2,1,21178
3015,27,0,1,7,2,1,4,6,0,3,1,5,0,4,1,3,1,23042
1106,30,1,3,6,2,2,3,4,1,5,1,2,0,4,1,1,2,24714
4541,53,0,1,32,3,1,3,5,4,3,1,5,0,5,0,2,0,32504
3334,55,0,1,7,2,1,3,4,3,3,1,2,0,5,1,2,3,29180
93,46,0,1,6,3,2,2,4,3,5,0,3,1,2,1,1,3,25673
4519,39,0,1,19,2,2,2,5,1,5,1,4,0,5,1,1,2,24966
112,54,0,2,32,2,1,1,2,4,3,2,3,1,3,1,0,0,32328
1287,42,1,1,19,3,2,3,1,1,5,1,6,0,4,1,0,2,20538
3583,33,1,1,12,2,1,3,2,0,3,1,5,0,5,1,2,1,21990
1551,35,1,1,6,3,2,1,4,0,3,2,2,0,4,1,0,1,17859
1284,39,1,1,16,3,2,3,3,3,3,3,1,0,3,1,0,3,28464
3232,29,1,1,17,2,1,3,4,1,3,3,5,0,4,1,2,2,22338
2887,23,0,1,11,1,2,3,5,0,3,3,7,0,5,1,1,1,22572
294,37,0,1,15,3,2,2,3,0,3,0,2,1,2,0,0,1,17326
4606,33,1,1,10,3,1,4,4,1,5,1,3,0,1,1,1,2,25403
4015,33,1,1,7,2,2,4,4,0,5,3,3,0,1,0,2,1,21634
4115,50,0,1,25,2,2,4,4,1,3,1,3,1,1,0,1,2,25482
2067,42,1,1,6,2,1,2,4,1,3,1,1,1,3,0,0,2,21062
4801,43,0,1,33,3,1,3,4,3,5,1,5,1,3,0,1,3,31869
1383,36,0,1,15,2,2,3,1,0,4,1,2,0,5,1,0,1,17810
1350,27,1,3,8,3,1,2,1,1,3,3,1,0,1,0,1,2,21500
4288,29,1,3,16,2,2,4,4,1,3,3,3,0,3,1,2,2,23931
2690,34,1,1,12,2,1,4,5,0,3,0,3,0,2,0,3,1,21589
3576,41,1,3,21,2,1,3,4,1,5,1,3,0,3,0,2,2,23317
4866,32,1,3,20,3,2,4,5,1,5,1,7,1,1,1,1,2,20980
1947,50,0,2,9,3,2,3,3,2,4,1,2,0,1,1,2,4,33200
1940,24,0,3,30,3,2,2,3,0,3,1,1,0,4,1,1,1,17400
4511,43,1,1,7,2,1,3,5,1,3,1,2,1,3,0,1,2,24740
1148,39,1,1,16,3,2,3,3,1,5,1,3,0,5,1,2,2,20377
1740,55,1,1,6,3,2,2,3,2,5,2,1,1,1,1,1,4,34045
4849,33,0,1,10,2,0,3,4,0,3,3,3,0,4,1,1,1,24887
3699,34,1,3,23,2,0,4,4,3,5,3,4,1,5,0,1,3,27242
4027,25,1,1,25,2,2,3,4,0,3,1,2,0,4,0,1,1,21452
1613,30,1,1,24,2,1,3,3,0,3,2,2,0,1,1,2,1,17632
4206,32,0,3,12,3,1,3,4,0,4,1,3,0,3,0,1,1,21467
2757,34,0,1,12,2,1,4,4,3,4,0,8,0,3,1,3,3,30556
2191,50,1,1,30,2,2,3,3,4,3,1,4,1,4,1,2,0,28973
673,33,1,1,6,2,2,3,4,0,5,2,4,1,4,0,0,1,17799
3264,36,0,3,18,3,2,3,4,1,3,1,3,0,5,0,1,2,23646
2645,50,0,1,25,2,2,4,4,1,3,1,3,1,2,0,2,2,25482
3648,49,0,3,14,3,1,4,4,0,3,1,4,1,4,1,2,1,21333
3412,37,0,3,14,3,1,3,2,1,5,0,4,0,1,1,1,2,23317
143,30,1,1,24,2,1,3,3,0,3,2,2,0,2,1,0,1,17632
3867,23,1,1,7,2,2,4,4,0,3,3,2,0,3,0,3,1,22053
1651,34,1,1,33,3,1,3,3,0,4,2,3,0,3,0,0,1,17311
4005,52,1,3,28,3,2,4,4,1,3,3,2,1,5,0,3,2,24119
3192,27,0,3,36,3,2,4,6,1,5,3,2,0,3,0,1,2,23647
706,40,0,3,30,2,0,3,1,4,4,3,5,1,3,1,2,0,28194
891,44,1,1,8,2,1,3,1,0,3,0,2,0,4,1,0,1,17011
4676,27,0,1,9,2,2,3,4,0,5,1,8,1,5,0,1,1,20720
3308,42,0,1,12,2,2,4,5,0,5,1,8,0,3,1,1,1,20785
2939,28,1,3,9,3,2,3,4,0,5,1,2,0,5,0,2,1,21719
4588,59,1,1,12,1,1,3,5,3,4,1,4,1,5,1,2,3,29230
3430,40,1,3,28,2,2,3,5,1,3,0,5,1,1,0,2,2,24798
3767,29,0,2,7,2,2,3,4,0,3,1,3,0,4,0,2,1,21384
3004,35,1,1,15,2,1,3,4,1,5,1,5,0,5,1,1,2,23799
1039,34,1,2,15,1,1,2,3,0,3,0,2,0,1,1,0,1,17742
1018,36,1,1,10,2,2,2,4,1,3,2,2,0,5,1,1,2,20810
147,41,0,1,16,2,2,3,4,4,5,1,5,0,2,1,0,0,32181
1563,46,0,1,6,3,2,2,4,3,5,1,3,1,1,1,1,3,25673
