Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3850,55,1,1,17,3,1,4,4,1,5,3,8,1,1,0,1,2,23118
2463,39,1,1,9,2,2,3,4,0,3,3,7,1,4,0,2,1,22622
878,42,0,2,8,3,2,3,1,1,5,0,1,0,2,0,2,2,21272
2482,37,1,1,12,2,1,3,5,0,5,0,2,1,2,1,1,1,98678
3074,23,1,1,7,2,2,3,5,1,3,0,8,0,2,1,1,2,23453
3002,33,0,1,31,2,2,4,4,1,3,0,3,0,4,1,1,2,23987
1261,38,1,1,24,3,2,2,5,1,3,1,4,1,5,0,1,2,20811
3187,60,1,1,9,2,1,4,5,4,3,2,5,1,5,0,3,0,32404
2230,53,0,3,8,3,1,2,4,3,4,1,3,0,1,1,0,3,22525
3643,37,1,1,33,2,2,4,4,1,3,1,8,0,3,1,1,2,24025
1897,60,0,3,34,3,1,3,4,3,5,1,5,0,1,1,0,3,25266
4738,43,1,1,36,3,2,3,6,1,3,3,6,0,3,1,2,2,22950
1480,35,1,1,22,3,2,2,1,0,4,1,1,0,4,1,1,1,17426
4557,43,1,1,10,2,1,4,2,1,3,1,4,1,5,1,1,2,23909
994,52,0,1,34,3,1,2,1,4,3,0,3,1,4,0,0,0,28247
3104,59,0,1,9,2,2,3,5,0,3,1,2,1,2,0,1,1,21058
9,36,1,1,33,3,2,3,3,1,3,0,7,0,3,1,0,2,20237
3825,29,0,1,23,3,2,3,4,0,3,2,3,0,3,0,1,1,20822
4425,37,1,1,16,3,2,3,5,1,4,1,4,1,4,0,2,2,27525
198,38,1,1,8,2,2,2,3,1,3,0,1,0,2,0,1,2,21553
1012,31,0,3,6,2,1,2,5,0,3,2,2,0,3,1,1,1,16359
3069,46,1,3,16,3,2,4,4,3,5,1,6,1,2,1,1,3,29439
4873,41,1,3,14,3,2,3,4,0,4,3,3,0,5,0,1,1,23339
2443,35,1,1,13,2,2,3,3,0,4,2,2,1,3,1,1,1,20363
2016,29,1,3,16,2,2,3,3,0,3,2,2,0,4,1,0,1,17642
1561,51,1,3,27,3,2,3,3,1,3,2,1,1,5,0,2,2,20441
304,39,1,1,6,3,2,2,2,3,3,1,1,0,3,1,0,3,24613
628,37,1,3,22,3,2,3,4,1,3,1,5,0,5,1,2,2,21334
710,33,0,3,23,2,2,2,3,4,3,2,2,0,3,1,1,0,32444
